shipment_id,origin,destination,status,timestamp
SH000194,"New Robertview, SC","Port Clayton, SD",in-transit,2024-06-21T01:04:52Z
SH000195,"Port Michael, WA","Amberton, NY",delivered,2022-04-02T02:03:45Z
SH000196,"South Courtney, KS","Davidborough, MS",cancelled,2023-05-07T21:24:57Z
SH000197,"North Laura, AS","Andrehaven, VT",cancelled,2025-05-12T16:26:06Z
SH000198,"Lake Kelly, CT","New Melissaside, AS",pending,2025-11-26T08:16:12Z
SH000199,"Tonyamouth, RI","Nguyenhaven, ND",pending,2023-07-09T22:27:50Z
SH000200,"Traciestad, VI","South Crystal, SD",delivered,2024-02-01T13:40:50Z
SH000201,"Alexanderchester, NJ","Lake Curtisfurt, FL",in-transit,2024-08-27T21:06:22Z
SH000202,"Christophermouth, ND","West Alexismouth, PA",pending,2023-06-16T02:47:16Z
SH000203,"South James, NC","Mariahburgh, MT",in-transit,2022-09-14T17:29:52Z
SH000204,"Bridgestown, AL","Lake Stanley, PA",cancelled,2023-11-02T12:39:39Z
SH000205,"Davidport, WI","Curtisside, IL",pending,2025-12-10T05:31:01Z
SH000206,"Port Williamshire, OH","Scottberg, IA",pending,2024-03-24T11:57:40Z
SH000207,"North Rebekahside, ID","North Kimchester, LA",pending,2023-01-22T15:13:26Z
SH000208,"New Ryan, WI","Port Jamesville, WA",pending,2025-11-21T00:57:35Z
SH000209,"Perezfort, FL","North Rebeccaton, UT",cancelled,2022-06-14T17:35:27Z
SH000210,"North Lisa, NY","South Aaron, KS",cancelled,2023-12-11T13:39:49Z
SH000211,"Bakerhaven, MI","New Davidberg, NV",in-transit,2022-01-16T02:06:29Z
SH000212,"Patriciaberg, GA","Port Shelbyshire, VI",delivered,2024-04-29T20:06:40Z
SH000213,"Port Michael, NH","East Briana, NC",pending,2023-04-10T13:58:14Z
SH000214,"Port Rebeccaport, FL","Vegaland, PR",in-transit,2024-12-20T21:08:39Z
SH000215,"Lake Robin, PR","West Jason, MI",delivered,2024-12-20T10:54:30Z
SH000216,"Royfurt, PW","Michaelbury, PR",in-transit,2022-05-16T20:33:00Z
SH000217,"North Troy, NE","Harmonhaven, CO",cancelled,2025-04-02T08:38:10Z
SH000218,"Victoriaport, NC","Nicolefort, ND",in-transit,2024-11-27T23:24:07Z
SH000219,"Garyfurt, NC","Romanton, WY",cancelled,2022-05-26T15:54:28Z
SH000220,"Michelleview, AR","Marietown, ND",pending,2024-12-27T06:29:44Z
SH000221,"New Christinachester, CA","Wilsonside, WI",in-transit,2024-11-22T04:54:39Z
SH000222,"South Shannon, LA","North Lauraberg, MP",delivered,2023-05-21T05:30:17Z
SH000223,"Webbmouth, IL","Crystalland, VA",in-transit,2024-05-28T19:12:27Z
SH000224,"Larafort, VI","Sherryshire, UT",pending,2023-07-24T12:38:44Z
SH000225,"Sarahport, FM","Emilyport, TX",pending,2023-04-10T13:06:35Z
SH000226,"New Ashleyfurt, AL","Michelefurt, UT",delivered,2024-11-02T10:17:58Z
SH000227,"New John, SD","East Susanton, KS",delivered,2025-07-04T20:40:14Z
SH000228,"Brittanyland, MN","West Cherylberg, SC",in-transit,2024-04-03T11:51:27Z
SH000229,"West David, NY","Sandersville, GA",delivered,2025-12-31T14:00:55Z
SH000230,"Sandovalberg, MH","Stewartstad, NY",in-transit,2024-02-09T04:55:28Z
SH000231,"South Olivia, OK","Pamelaton, NC",in-transit,2025-12-14T16:26:08Z
SH000232,"Williamfort, MO","South Shawnstad, VA",in-transit,2023-04-02T11:06:38Z
SH000233,"Angelachester, VA","Eatonport, MN",cancelled,2022-07-12T05:07:25Z
SH000234,"Larryside, MP","West Tracy, MI",delivered,2024-08-17T19:11:38Z
SH000235,"Cortezshire, IN","West Annachester, AS",in-transit,2024-02-26T10:55:20Z
SH000236,"Ericafurt, TX","Wilsonland, CT",cancelled,2022-07-27T00:48:45Z
SH000237,"Carolynstad, IL","Rebeccabury, AK",pending,2024-03-27T15:30:09Z
SH000238,"Karamouth, TN","East Chris, OK",delivered,2025-03-24T08:41:09Z
SH000239,"New Anthonyport, PA","Douglasville, WA",in-transit,2024-01-27T22:14:15Z
SH000240,"Garystad, VA","Lake Edwardmouth, WV",in-transit,2023-05-28T20:12:47Z
SH000241,"Montgomerytown, FL","Whitestad, FL",in-transit,2022-07-18T13:06:19Z
SH000242,"New Adriana, NM","Cantrellmouth, VA",pending,2025-03-28T19:19:50Z
SH000243,"East Sharon, NV","Rodriguezton, WI",delivered,2022-02-09T23:32:37Z
SH000244,"Watsonland, WY","North Randy, LA",in-transit,2025-02-05T20:57:42Z
SH000245,"New Paula, AL","South Jasonville, WA",in-transit,2023-02-27T08:52:35Z
SH000246,"East Steven, MD","Simmonsberg, DE",in-transit,2025-01-29T16:43:07Z
SH000247,"Sharonfort, SD","New Kathybury, UT",pending,2025-03-25T21:56:07Z
SH000248,"Port Christinaton, CT","Rhondashire, MH",cancelled,2022-05-07T07:47:53Z
SH000249,"East Cheyenne, KY","Hannahview, DC",cancelled,2025-12-16T21:43:04Z
SH000250,"Williamchester, NM","New Marcus, AZ",delivered,2022-07-20T17:13:06Z
SH000251,"Allenmouth, AS","Cookbury, MH",pending,2023-02-07T14:25:50Z
SH000252,"Andrewland, GU","Davidfurt, FL",delivered,2022-03-07T17:17:02Z
SH000253,"Lake Melaniehaven, FL","South Erik, DC",pending,2024-07-06T19:47:16Z
SH000254,"New Christophershire, AR","Port Susanport, CT",cancelled,2024-05-29T04:58:20Z
SH000255,"Sandraport, DC","Martinezhaven, KS",delivered,2025-05-14T06:01:40Z
SH000256,"Jackbury, TX","Foleyville, CT",in-transit,2025-03-13T12:55:10Z
SH000257,"North Laurieberg, PR","East Jacob, CO",pending,2024-06-17T17:15:37Z
SH000258,"New Alejandro, MD","Amandamouth, VI",in-transit,2023-06-14T01:08:47Z
SH000259,"Graceside, AR","Troytown, NE",cancelled,2022-06-11T04:24:25Z
SH000260,"Robertside, AS","North Alexanderport, ID",cancelled,2022-07-07T09:42:27Z
SH000261,"Peterbury, MT","Weeksview, TN",pending,2023-02-23T19:57:38Z
SH000262,"Garciabury, NH","Vanessafurt, UT",cancelled,2025-01-02T23:58:34Z
SH000263,"West Darinhaven, SC","Elliottberg, SC",in-transit,2025-02-07T07:26:19Z
SH000264,"East Emma, ME","West Michaelland, MA",delivered,2023-12-28T03:10:52Z
SH000265,"Port Robert, WA","Davidmouth, AK",delivered,2025-03-01T20:27:52Z
SH000266,"North Eric, KS","Lake Jessicafort, WV",delivered,2022-04-02T05:21:35Z
SH000267,"East Michaeltown, KY","South Sara, ID",in-transit,2023-07-11T14:02:58Z
SH000268,"Jonesbury, LA","Nathanside, OH",in-transit,2025-10-12T09:17:24Z
SH000269,"Ericashire, WA","East Craigberg, NE",cancelled,2023-07-27T05:29:03Z
SH000270,"New Karenberg, LA","North Katherine, NV",pending,2022-07-09T07:36:57Z
SH000271,"North Ellen, NY","Jessicaton, KS",in-transit,2024-04-28T03:10:15Z
SH000272,"Murphyport, IL","South Brendanmouth, MA",cancelled,2025-04-02T17:34:49Z
SH000273,"East Andrewfurt, PA","East Angela, TN",pending,2022-05-24T09:54:14Z
SH000274,"Lake Anthonyview, MN","Ryanberg, NM",in-transit,2022-12-30T06:02:12Z
SH000275,"Jasonshire, SD","Monicaland, VT",pending,2024-10-23T21:37:27Z
SH000276,"East Theresabury, MO","Dylanburgh, PA",delivered,2023-07-30T05:14:19Z
SH000277,"Paulmouth, GU","Julialand, UT",delivered,2023-04-03T23:20:12Z
SH000278,"Tinashire, IA","Lake Michael, DE",delivered,2023-11-14T17:41:39Z
SH000279,"Kimberlybury, AR","Adamland, KS",pending,2025-05-17T19:04:29Z
SH000280,"Danielland, IL","West Kathleen, WY",in-transit,2022-06-27T10:39:39Z
SH000281,"New Janehaven, TX","North Marilynshire, NM",in-transit,2025-05-18T17:59:33Z
SH000282,"Johnsontown, AK","Brettburgh, MN",in-transit,2022-06-16T04:17:44Z
SH000283,"South Jennifer, ME","West Martin, IA",cancelled,2025-07-01T19:08:05Z
SH000284,"Millsberg, WA","West Mary, KS",cancelled,2024-01-25T23:15:48Z
SH000285,"Port Jeremy, SC","Wheelerview, OH",delivered,2025-06-11T02:56:45Z
SH000286,"Patriciafurt, GU","Jamesberg, NY",cancelled,2025-02-09T02:55:08Z
SH000287,"Port Heatherland, ID","Heathershire, SD",pending,2024-01-03T03:24:56Z
SH000288,"Kirkland, TX","South Heather, AK",pending,2025-07-29T06:14:01Z
SH000289,"Jeffreyville, DE","Brianfort, VI",in-transit,2025-09-05T07:43:53Z
SH000290,"Greenetown, AL","Lake William, CO",pending,2024-08-02T09:20:04Z
SH000291,"Port Jonathan, FL","Meredithmouth, AS",cancelled,2024-12-06T14:11:43Z
SH000292,"Scottfort, CO","Millerburgh, TX",cancelled,2023-01-26T21:37:48Z
SH000293,"Lake Kylestad, OK","South Gerald, NY",in-transit,2025-07-08T03:06:15Z
SH000294,"Port Pambury, VI","Richardborough, NY",in-transit,2024-09-08T10:05:05Z
SH000295,"Lake Chelseaville, CA","Jeremyburgh, NJ",in-transit,2025-11-24T11:17:06Z
SH000296,"North Robert, WV","Lisahaven, SC",delivered,2022-08-21T17:28:00Z
SH000297,"Cruzfort, AL","Robertstown, OH",in-transit,2024-01-06T10:25:28Z
SH000298,"East Angel, IA","Lambertshire, ND",delivered,2022-08-20T04:44:30Z
SH000299,"Mcguireville, DE","North Rodney, MH",cancelled,2025-03-22T08:07:18Z
SH000300,"Bradfordside, OR","Jensenmouth, RI",cancelled,2022-07-22T02:12:15Z
SH000301,"Courtneyshire, PW","South Jennifer, CO",cancelled,2024-08-21T19:49:51Z
SH000302,"South Sarahburgh, MA","New Kurtberg, MA",in-transit,2025-05-23T14:24:59Z
SH000303,"South Savannahfort, NJ","East Lindseychester, AR",in-transit,2022-08-16T03:01:03Z
SH000304,"Port Sandraton, VI","Mathewfort, ID",delivered,2022-11-07T03:00:55Z
SH000305,"West Joelview, LA","North Brian, AZ",delivered,2023-10-05T06:02:56Z
SH000306,"New Caseyfort, VT","Port William, WY",cancelled,2025-07-10T17:26:04Z
SH000307,"Bradhaven, MI","Schultzport, KY",in-transit,2025-01-09T09:34:47Z
SH000308,"North Greg, SC","Port Heatherfort, HI",delivered,2023-05-07T13:00:56Z
SH000309,"Lake Randyberg, MO","West Kristin, GA",pending,2024-11-20T20:05:13Z
SH000310,"West Davidstad, LA","South Sandra, MI",pending,2022-09-06T09:42:26Z
